id,name,state_id
449,Copanatoyac,12
450,Coquimatlán,6
451,Coronado,8
452,Coronango,21
453,Coroneo,11
454,Corregidora,22
455,Cortazar,11
456,Cosalá,25
457,Cosamaloapan de Carpio,30
458,Cosío,1
459,Cosautlán de Carvajal,30
460,Coscomatepec,30
461,Cosolapa,20
462,Cosoleacaque,30
463,Cosoltepec,20
464,Cotaxtla,30
465,Cotija,16
466,Coxcatlán,21
467,Coxcatlán,24
468,Coxquihui,30
469,Coyame Del Sotol,8
470,Coyoacán,9
471,Coyomeapan,21
472,Coyotepec,21
473,Coyotepec,15
474,Coyuca de Benítez,12
475,Coyuca de Catalán,12
476,Coyutla,30
477,Cozumel,23
478,Cruillas,28
479,Cuajimalpa de Morelos,9
480,Cuajinicuilapa,12
481,Cualác,12
482,Cuapiaxtla,29
483,Cuapiaxtla de Madero,21
484,Cuatrociénegas,5
485,Cuauhtémoc,8
486,Cuauhtémoc,32
487,Cuauhtémoc,9
488,Cuauhtémoc,6
489,Cuautempan,21
490,Cuautepec,12
491,Cuautepec de Hinojosa,13
492,Cuautinchán,21
493,Cuautitlán,15
494,Cuautitlán de Garcóa Barragán,14
495,Cuautitlán Izcalli,15
496,Cuautla,14
497,Cuautla,17
498,Cuautlancingo,21
499,Cuaxomulco,29
500,Cuayuca de Andrade,21
501,Cucurpe,26
502,Cuencamé,10
503,Cuerámaro,11
504,Cuernavaca,17
505,Cuetzala Del Progreso,12
506,Cuetzalan Del Progreso,21
507,Cuichapa,30
508,Cuilápam de Guerrero,20
509,Cuitláhuac,30
510,Cuitzeo,16
511,Culiacán,25
512,Cumpas,26
513,Cuncunul,31
514,Cunduacán,27
515,Cuquío,14
516,Cusihuiriachi,8
517,Cutzamala de Pinzón,12
518,Cuyamecalco Villa de Zaragoza,20
519,Cuyoaco,21
520,Cuzamá,31
521,Degollado,14
522,Del Nayar,18
523,Delicias,8
524,Divisaderos,26
525,Doctor Mora,11
526,Dolores Hidalgo Cuna de la Independencia Nacional,11
527,Domingo Arenas,21
528,Donato Guerra,15
529,Dr. Arroyo,19
530,Dr. Belisario Domónguez,8
531,Dr. Coss,19
532,Dr. González,19
533,Durango,10
534,Dzán,31
535,Dzemul,31
536,Dzidzantún,31
537,Dzilam de Bravo,31
538,Dzilam González,31
539,Dzitás,31
540,Dzoncauich,31
541,Ébano,24
542,Ecatepec de Morelos,15
543,Ecatzingo,15
544,Ecuandureo,16
545,Eduardo Neri,12
546,Ejutla,14
547,El Arenal,13
548,El Arenal,14
549,El Barrio de La Soledad,20
550,El Bosque,7
551,El Carmen Tequexquitla,29
552,El Espinal,20
553,El Fuerte,25
554,El Grullo,14
555,El Higo,30
556,El Limón,14
557,El Llano,1
558,El Mante,28
559,El Marqués,22
560,El Naranjo,24
561,El Oro,10
562,El Oro,15
563,El Plateado de Joaquón Amaro,32
564,El Porvenir,7
565,El Salto,14
566,El Salvador,32
567,El Tule,8
568,Elota,25
569,Eloxochitlán,21
570,Eloxochitlán,13
571,Eloxochitlán de Flores Magón,20
572,Emiliano Zapata,27
573,Emiliano Zapata,29
574,Emiliano Zapata,30
575,Emiliano Zapata,13
576,Emiliano Zapata,17
577,Empalme,26
578,Encarnación de Dóaz,14
579,Ensenada,2
580,Epatlán,21
581,Epazoyucan,13
582,Epitacio Huerta,16
583,Erongarócuaro,16
584,Escárcega,4
585,Escobedo,5
586,Escuinapa,25
587,Escuintla,7
588,Españita,29
589,Esperanza,21
590,Espinal,30
591,Espita,31
592,Etchojoa,26
593,Etzatlán,14
594,Ezequiel Montes,22
595,Felipe Carrillo Puerto,23
596,Filomeno Mata,30
597,Florencio Villarreal,12
598,Fortón,30
599,Francisco I. Madero,13
600,Francisco I. Madero,5
601,Francisco León,7
602,Francisco Z. Mena,21
603,Fresnillo,32
604,Fresnillo de Trujano,20
605,Frontera,5
606,Frontera Comalapa,7
607,Frontera Hidalgo,7
608,Fronteras,26
609,Góémez,28
610,Gómez Faróas,28
611,Gómez Faróas,8
612,Gómez Faróas,14
613,Gómez Palacio,10
614,Gabriel Zamora,16
615,Galeana,8
616,Galeana,19
617,García,19
618,Genaro Codina,32
619,General Canuto A. Neri,12
620,General Cepeda,5
621,General Enrique Estrada,32
622,General Felipe ángeles,21
623,General Francisco R. Murguóa,32
624,General Heliodoro Castillo,12
625,General Pánfilo Natera,32
626,General Plutarco Elías Calles,26
627,González,28
628,Gral. Bravo,19
629,General Escobedo,19
630,Gral. Simón Bolóvar,10
631,Gral. Terán,19
632,Gral. Treviño,19
633,Gral. Zaragoza,19
634,Gral. Zuazua,19
635,Gran Morelos,8
636,Granados,26
637,Guachinango,14
638,Guachochi,8
639,Guadalajara,14
640,Guadalcázar,24
641,Guadalupe,21
642,Guadalupe,8
643,Guadalupe,32
644,Guadalupe,19
645,Guadalupe de Ramórez,20
646,Guadalupe Etla,20
647,Guadalupe Victoria,21
648,Guadalupe Victoria,10
649,Guadalupe y Calvo,8
650,Guanacevó,10
651,Guanajuato,11
652,Guasave,25
653,Guaymas,26
654,Guazapares,8
655,Guelatao de Juárez,20
656,Guerrero,28
657,Guerrero,8
658,Guerrero,5
659,Guevea de Humboldt,20
660,Gustavo A. Madero,9
661,Gustavo Díaz Ordaz,28
662,Gutiérrez Zamora,30
663,Halachó,31
664,Hecelchakán,4
665,Hermenegildo Galeana,21
666,Hermosillo,26
667,Ejutla de Crespo,20
668,Heroica Ciudad de Huajuapan de León,20
669,Heroica Ciudad de Tlaxiaco,20
670,Hidalgo,28
671,Hidalgo,10
672,Hidalgo,5
673,Hidalgo,16
674,Hidalgo,19
675,Hidalgo Del Parral,8
676,Hidalgotitlán,30
677,Higueras,19
678,Hocabá,31
679,Hoctún,31
680,Homún,31
681,Honey,21
682,Hopelchén,4
683,Hostotipaquillo,14
684,Huásabas,26
685,Huépac,26
686,Huachinera,26
687,Huajicori,18
688,Hualahuises,19
689,Huamantla,29
690,Huamuxtitlán,12
691,Huanímaro,11
692,Huandacareo,16
693,Huaniqueo,16
694,Huanusco,32
695,Huaquechula,21
696,Huasca de Ocampo,13
697,Huatabampo,26
698,Huatlatlauca,21
699,Huatusco,30
700,Huauchinango,21
701,Huautepec,20
702,Huautla,13
703,Huautla de Jiménez,20
704,Huayacocotla,30
705,Huazalingo,13
706,Huehuetán,7
707,Huehuetla,21
708,Huehuetla,13
709,Huehuetlán,24
710,Huehuetlán el Chico,21
